Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
1.4800000000000004,1.035878812,0.54521143,0.48279437,2.462836,1.057813,1.9771776,1.468108,0.052394073
1.4900000000000004,1.058838913,0.54521143,0.48279437,2.462836,1.1032354,2.0124075,1.4937134,0.052292127
1.5000000000000004,1.078064017,0.54521143,0.48279437,2.462836,1.1234838,2.0418522,1.5151607,0.05232785
1.5100000000000005,1.097932519,0.72216177,0.6013897,2.4748294,0.9933299,1.8242947,1.3710408,0.035452135
1.5200000000000005,1.116821145,0.72216177,0.6013897,2.4748294,1.0112802,1.8530917,1.3919276,0.03541632
1.5300000000000005,1.136293929,0.72216177,0.6013897,2.4748294,1.0301101,1.882868,1.4133826,0.035419155
1.5400000000000005,1.15542633,0.72216177,0.6013897,2.4748294,1.0411974,1.9120942,1.434357,0.035443895
1.5500000000000005,1.174481273,0.72216177,0.6013897,2.4748294,1.0605036,1.9411615,1.455203,0.035423875
1.5600000000000005,1.194272201,0.89294195,0.7291912,2.4911394,0.94055843,1.7318739,1.2977015,0.012571579
1.5700000000000005,1.213923233,0.89294195,0.7291912,2.4911394,0.93132377,1.7617683,1.318958,0.012670656
1.5800000000000005,1.232884219,0.89294195,0.7291912,2.4911394,0.9490566,1.790701,1.339396,0.01276392
1.5900000000000005,1.251874702,0.89294195,0.7291912,2.4911394,0.95713514,1.8196526,1.3598932,0.01276116
1.6000000000000005,1.270761908,0.89294195,0.7291912,2.4911394,0.9757179,1.8484222,1.380165,0.0127773015
1.6100000000000005,1.290885976,1.055679,0.85160196,2.5072086,0.85208654,1.6508564,1.2301325,-0.009748853
1.6200000000000006,1.313482748,1.055679,0.85160196,2.5072086,0.85095537,1.685053,1.2541797,-0.009769429
1.6300000000000006,1.332818743,1.055679,0.85160196,2.5072086,0.8685765,1.7143438,1.2747073,-0.00983498
1.6400000000000006,1.352265483,1.055679,0.85160196,2.5072086,0.8683856,1.743737,1.2952226,-0.009891986
1.6500000000000006,1.371183558,1.055679,0.85160196,2.5072086,0.8868169,1.7723117,1.3151666,-0.009869739
1.6600000000000006,1.398463383,1.218416,0.97401273,2.5195093,0.7636379,1.5854205,1.1721421,-0.027122265
1.6700000000000006,1.418117796,1.218416,0.97401273,2.5195093,0.78048766,1.6150514,1.1926432,-0.027180782
1.6800000000000006,1.442689551,1.218416,0.97401273,2.5195093,0.7860945,1.6520585,1.2180479,-0.027138328
1.6900000000000006,1.462514649,1.218416,0.97401273,2.5195093,0.783984,1.681938,1.2385193,-0.027123075
1.7000000000000006,1.482488078,1.218416,0.97401273,2.5195093,0.80355495,1.7120041,1.2590148,-0.02714059
1.7100000000000006,1.502913634,1.3891962,1.1018142,2.5278878,0.6687818,1.5033436,1.1007369,-0.03883493
1.7200000000000006,1.52402013,1.3891962,1.1018142,2.5278878,0.66664463,1.5349743,1.1221762,-0.038822275
