Time,Position_X,Position_Y,Position_Z
2.0452e-05,2.3008502e-05,1.8406801e-05,2.5
0.050101268,0.0563634,0.045089446,2.5
0.069677064,0.07838527,0.062704794,2.5
0.088977555,0.100096785,0.080070294,2.5
0.111750489,0.12571344,0.10055661,2.5
0.13169091,0.14814264,0.11849099,2.5
0.151408698,0.17032015,0.13622099,2.5
0.170520621,0.1918148,0.15340164,2.5
0.191497379,0.21540494,0.17225286,2.5
0.215698501,0.24261849,0.19399321,2.5
0.235076904,0.26440674,0.2113939,2.5
0.254421393,0.28615457,0.22875698,2.5
0.273757677,0.30789083,0.24610505,2.5
0.293308641,0.32986578,0.26363724,2.5
0.312952721,0.35194254,0.28124386,2.5
0.333121331,0.3746056,0.29931042,2.5
0.352495689,0.39637294,0.3166552,2.5
0.371492432,0.41771275,0.3336515,2.5
0.391115113,0.43975216,0.35119647,2.5
0.416117542,0.46782836,0.37353384,2.5
0.435485483,0.48957282,0.39082295,2.5
0.455224269,0.5117295,0.40842953,2.5
0.474260907,0.53309363,0.4253962,2.5
0.493828918,0.55504966,0.44282207,2.5
0.519391839,0.5837249,0.46556342,2.5
0.538446591,0.6050941,0.48249722,2.5
0.557751733,0.62673897,0.49963748,2.5
0.580027977,0.65170854,0.5193948,2.5
0.599708887,0.67376304,0.536831,2.5
0.62450902,0.7015456,0.5587758,2.5
0.644369651,0.72378767,0.5763275,2.5
0.663965727,0.7457272,0.5936254,2.5
0.683598413,0.76770127,0.6109351,2.5
0.702773895,0.78915715,0.62782115,2.5
0.722959942,0.8117368,0.6455747,2.5
0.742307902,0.83337194,0.662569,2.5
0.761475005,0.85479796,0.6793823,2.5
0.781087408,0.87671435,0.69656307,2.5
0.800880771,0.89882535,0.7138779,2.5
0.82246832,0.92293155,0.7327335,2.5
0.842183733,0.94493866,0.749927,2.5
0.861761171,0.9667837,0.7669743,2.5
0.881007449,0.9882511,0.7837074,2.5
0.900517955,1.0100048,0.80064356,2.5
0.92456102,1.0368001,0.82147646,2.5
0.943872682,1.0583129,0.8381789,2.5
0.963971296,1.0806926,0.8555319,2.5
0.983745482,1.1027017,0.87257445,2.5
1.004495971,1.1257869,0.89042556,2.5
1.03630332,1.1611519,0.91772115,2.5
1.058613307,1.1859415,0.93681693,2.5
1.085224125,1.2154924,0.9595388,2.5
1.106152769,1.2387199,0.9773662,2.5
1.126872067,1.261703,0.9949771,2.5
1.150992077,1.2884429,1.0154302,2.5
1.170536428,1.3100978,1.0319644,2.5
1.190846915,1.3325897,1.049109,2.5
1.213183302,1.3573108,1.0679188,2.5
1.23347432,1.379755,1.0849648,2.5
1.255457904,1.4040568,1.1033869,2.5
1.274508371,1.4251039,1.1193125,2.5
1.294097631,1.4467343,1.1356503,2.5
1.315763603,1.470643,1.1536744,2.5
1.343047022,1.5007286,1.1763023,2.5
1.362519817,1.522186,1.1924044,2.5
1.381763244,1.5433779,1.2082766,2.5
1.401029535,1.5645821,1.2241275,2.5
1.426463654,1.5925543,1.2449899,2.5
1.446402539,1.614467,1.2612944,2.5
1.465866773,1.6358441,1.2771671,2.5
1.485400258,1.6572831,1.2930524,2.5
1.504476973,1.6782072,1.3085237,2.5
1.524385154,1.7000282,1.3246233,2.5
1.543593414,1.7210681,1.3401122,2.5
1.564460921,1.743909,1.3568885,2.5
1.584107642,1.7653983,1.372635,2.5
1.604321701,1.787492,1.3887864,2.5
1.628194497,1.8135635,1.4077953,2.5
1.647836454,1.8349968,1.4233812,2.5
1.667239981,1.8561547,1.4387295,2.5
1.687317631,1.8780309,1.4545596,2.5
1.70630424,1.8987026,1.469481,2.5
1.726244472,1.9203962,1.4851004,2.5
1.746022568,1.9418963,1.5005405,2.5
1.765874948,1.96346,1.5159853,2.5
1.785156954,1.9843876,1.530935,2.5
1.804193435,2.005032,1.5456438,2.5
1.830160437,2.0331664,1.5656265,2.5
1.849576826,2.0541832,1.5805061,2.5
1.87280927,2.0793078,1.5982399,2.5
1.89204691,2.1000931,1.6128654,2.5
1.911790209,2.1214068,1.6278198,2.5
1.940378862,2.1522357,1.6493722,2.5
1.961873397,2.175389,1.6654968,2.5
1.984891189,2.2001576,1.6826873,2.5
2.004728657,2.2214832,1.6974382,2.5
2.029800745,2.2484078,1.7159956,2.5
2.050051508,2.2701316,1.7309134,2.5
2.072279112,2.293952,1.7472142,2.5
2.091637471,2.3146768,1.7613473,2.5
2.111474987,2.3358943,1.7757688,2.5
2.132116789,2.3579502,1.7907082,2.5
2.152460414,2.379665,1.8053644,2.5
2.171407175,2.3998694,1.818954,2.5
2.190737013,2.420462,1.8327577,2.5
2.210502381,2.4414976,1.8468086,2.5
2.239160215,2.4719589,1.8670657,2.5
2.265579288,2.4999998,1.885618,2.5
2.297596622,2.5339305,1.9079429,2.5
2.326197529,2.564191,1.9277368,2.5
2.346733773,2.58589,1.9418617,2.5
2.3660917,2.6063213,1.955109,2.5
2.38964188,2.6311476,1.9711359,2.5
2.409326612,2.651874,1.9844568,2.5
2.430134738,2.673758,1.9984628,2.5
2.450963072,2.6956372,2.0124044,2.5
2.480306068,2.726416,2.0319118,2.5
2.500308164,2.747367,2.0451193,2.5
2.521608053,2.7696495,2.0591028,2.5
2.54239379,2.7913668,2.0726674,2.5
2.561489132,2.8112943,2.085058,2.5
2.580778508,2.8314013,2.097505,2.5
2.600559866,2.8519957,2.1101966,2.5
2.623164385,2.875499,2.1246083,2.5
2.642599339,2.8956804,2.1369214,2.5
2.661736022,2.9155278,2.1489744,2.5
2.68194328,2.9364595,2.1616247,2.5
2.701331969,2.956518,2.173688,2.5
2.721312612,2.9771626,2.1860425,2.5
2.740939526,2.997416,2.198102,2.5
2.761637312,3.018746,2.210737,2.5
2.781398522,3.039084,2.2227206,2.5
2.800848562,3.0590754,2.2344391,2.5
2.821343577,3.0801125,2.246705,2.5
2.841770288,3.1010504,2.2588453,2.5
2.861318848,3.1210616,2.2703846,2.5
2.88108764,3.1412704,2.2819743,2.5
2.904944613,3.165622,2.295854,2.5
2.930150991,3.1913066,2.3103907,2.5
2.949436581,3.2109275,2.3214238,2.5
2.968880696,3.2306821,2.332469,2.5
2.988201581,3.2502847,2.3433657,2.5
3.007046167,3.2693777,2.3539176,2.5
3.026621501,3.2891834,2.364799,2.5
3.046450719,3.3092167,2.3757386,2.5
3.065689344,3.3286257,2.386272,2.5
3.085359431,3.3484411,2.3969593,2.5
3.105070927,3.3682692,2.4075856,2.5
3.12452163,3.3878062,2.4179885,2.5
3.144905176,3.408249,2.428802,2.5
3.163950516,3.427321,2.4388237,2.5
3.18394981,3.4473178,2.4492617,2.5
3.206688706,3.4700165,2.4610224,2.5
3.228154979,3.4914079,2.4720194,2.5
3.248381833,3.511531,2.4822884,2.5
3.267804896,3.530824,2.4920626,2.5
3.287226995,3.550086,2.501752,2.5
3.306129353,3.568804,2.5111005,2.5
3.329400183,3.591808,2.5224986,2.5
3.348570988,3.610726,2.5317962,2.5
3.368187121,3.630053,2.541223,2.5
3.387980508,3.6495223,2.5506458,2.5
3.407070116,3.6682692,2.5596485,2.5
3.427225323,3.6880295,2.5690625,2.5
3.451586462,3.7118688,2.5803158,2.5
3.483000961,3.742537,2.5946236,2.5
3.502915419,3.7619355,2.6035743,2.5
3.521766998,3.7802675,2.6119618,2.5
3.542300006,3.8002002,2.6210022,2.5
3.561388403,3.8186984,2.6293175,2.5
3.589088168,3.8454862,2.6412306,2.5
3.608107694,3.8638406,2.6493049,2.5
3.631791354,3.8866522,2.6592388,2.5
3.651508387,3.905606,2.6674063,2.5
3.670808073,3.9241254,2.6753106,2.5
3.690057111,3.9425638,2.683105,2.5
3.712190879,3.9637246,2.691957,2.5
3.736290303,3.9867148,2.70146,2.5
3.755980121,4.00546,2.709119,2.5
3.774971071,4.023506,2.716417,2.5
3.79473536,4.042253,2.7239187,2.5
3.816166637,4.0625405,2.7319446,2.5
3.835269268,4.0805883,2.739003,2.5
3.854645465,4.0988607,2.7460709,2.5
3.8736229,4.1167235,2.7529037,2.5
3.893010012,4.1349373,2.7597914,2.5
3.912940015,4.153624,2.7667747,2.5
3.932559696,4.1719847,2.773553,2.5
3.952329016,4.1904483,2.7802854,2.5
3.971738925,4.20854,2.7868004,2.5
3.991582068,4.2269998,2.793363,2.5
4.014539997,4.248309,2.8008325,2.5
4.040824277,4.2726445,2.809221,2.5
4.060081214,4.2904315,2.8152559,2.5
4.080749256,4.309482,2.8216286,2.5
4.100545977,4.3276906,2.8276308,2.5
4.122828111,4.34814,2.8342671,2.5
4.14223968,4.365915,2.8399453,2.5
4.16119277,4.383234,2.8453965,2.5
4.180398911,4.400749,2.8508267,2.5
4.199577916,4.4182024,2.856155,2.5
4.225218454,4.4414783,2.8631303,2.5
4.247464937,4.4616203,2.869045,2.5
4.266940025,4.4792128,2.8741183,2.5
4.28704477,4.4973335,2.8792524,2.5
4.306057836,4.514433,2.8840115,2.5
4.329966494,4.5358825,2.8898625,2.5
4.34924696,4.5531373,2.8944728,2.5
4.368678297,4.570489,2.8990211,2.5
4.391878632,4.5911555,2.9043226,2.5
4.414564271,4.611309,2.9093707,2.5
4.443376572,4.6368294,2.9155874,2.5
4.463520398,4.6546206,2.9198046,2.5
4.483048047,4.671826,2.923791,2.5
4.502104157,4.688578,2.9275842,2.5
4.5214419,4.7055383,2.931336,2.5
4.542474219,4.7239394,2.9353042,2.5
4.566617062,4.745004,2.9397151,2.5
4.586621133,4.7624116,2.9432535,2.5
4.605954269,4.7791934,2.9465723,2.5
4.625864615,4.7964344,2.9498863,2.5
4.645351169,4.8132668,2.9530282,2.5
4.664512985,4.8297796,2.9560192,2.5
4.683984134,4.8465176,2.9589584,2.5
4.703058377,4.8628736,2.9617398,2.5
4.722866454,4.8798175,2.9645255,2.5
4.743438218,4.897369,2.967308,2.5
4.763012589,4.914026,2.9698503,2.5
4.782498461,4.930566,2.9722798,2.5
4.802444519,4.9474525,2.974661,2.5
4.822278629,4.9642,2.9769237,2.5
4.842511206,4.9812393,2.979123,2.5
4.862167001,4.997749,2.9811547,2.5
4.885188678,5.0170302,2.9834023,2.5
4.904968372,5.033549,2.9852195,2.5
4.92476149,5.0500336,2.9869332,2.5
4.943993836,5.0660095,2.9884973,2.5
4.963222456,5.0819397,2.9899616,2.5
4.985843259,5.1006265,2.9915566,2.5
5.005314345,5.116664,2.9928195,2.5
5.02486223,5.132721,2.9939845,2.5
5.044388271,5.148715,2.9950454,2.5
5.065023632,5.1655707,2.9960551,2.5
5.084536547,5.1814647,2.996904,2.5
5.106384661,5.199207,2.9977326,2.5
5.130213417,5.218494,2.9984899,2.5
5.149987941,5.2344494,2.9990017,2.5
5.169546691,5.250185,2.999404,2.5
5.189371309,5.2660885,2.9997065,2.5
5.209029222,5.281812,2.9999018,2.5
5.233076926,5.3009853,2.999999,2.5
5.25300874,5.316824,2.999961,2.5
5.271579817,5.3315387,2.999829,2.5
5.290766458,5.346698,2.999595,2.5
5.309882621,5.3617573,2.9992628,2.5
5.335850788,5.382144,2.9986537,2.5
5.355296161,5.397356,2.9980783,2.5
5.37413378,5.4120493,2.9974241,2.5
5.393731379,5.4272895,2.9966414,2.5
5.416509659,5.4449434,2.9956017,2.5
5.436134936,5.460103,2.9945936,2.5
5.455694381,5.475165,2.993486,2.5
5.474569322,5.4896555,2.9923189,2.5
5.494234488,5.5047054,2.9910011,2.5
5.513705461,5.5195594,2.989594,2.5
5.542120621,5.541152,2.987357,2.5
5.561814465,5.556059,2.9856794,2.5
5.581514335,5.5709214,2.983897,2.5
5.601534172,5.5859756,2.981979,2.5
5.626712447,5.604837,2.9794137,2.5
5.646610823,5.6196866,2.977266,2.5
5.666321052,5.6343465,2.9750342,2.5
5.686429919,5.649252,2.9726505,2.5
5.705488347,5.663332,2.970291,2.5
5.725281689,5.6779056,2.967738,2.5
5.744945627,5.6923337,2.9650977,2.5
5.765025083,5.7070165,2.9622953,2.5
5.797007066,5.7302957,2.95761,2.5
5.816370631,5.7443256,2.9546409,2.5
5.835323352,5.7580113,2.951638,2.5
5.85518063,5.7723,2.9483895,2.5
5.874020385,5.785809,2.945211,2.5
5.893253335,5.799553,2.941869,2.5
5.912295642,5.8131127,2.9384634,2.5
5.942247485,5.834345,2.932913,2.5
5.966647495,5.851555,2.9282165,2.5
5.986314223,5.8653693,2.9243166,2.5
6.007345135,5.880085,2.920034,2.5
6.030874732,5.8964796,2.9151044,2.5
6.050567469,5.9101453,2.9108667,2.5
6.077770213,5.9289365,2.9048467,2.5
6.097865164,5.9427547,2.900275,2.5
6.123326635,5.960186,2.8943312,2.5
6.142974836,5.973577,2.8896291,2.5
6.165040435,5.9885545,2.8842285,2.5
6.185819892,6.0025992,2.8790274,2.5
6.20554186,6.0158753,2.8739872,2.5
6.228749477,6.0314293,2.8679278,2.5
6.249078177,6.0449944,2.8625057,2.5
6.268700498,6.058035,2.857171,2.5
6.29470043,6.075233,2.8499498,2.5
6.314548223,6.0882993,2.8443208,2.5
6.342996219,6.106933,2.8360767,2.5
6.362722417,6.119789,2.8302388,2.5
6.382834204,6.132841,2.824185,2.5
6.402986416,6.145863,2.8180156,2.5
6.422790294,6.1586056,2.8118525,2.5
6.442455064,6.1712046,2.8056345,2.5
6.461921245,6.183624,2.7993832,2.5
6.482982405,6.1970005,2.7925122,2.5
6.502657885,6.2094417,2.7859926,2.5
6.522823448,6.2221365,2.7792099,2.5
6.542220044,6.234294,2.7725897,2.5
6.561764331,6.2464895,2.7658243,2.5
6.587846043,6.2626824,2.7566476,2.5
6.607501863,6.2748218,2.7496204,2.5
6.627305871,6.286998,2.7424436,2.5
6.647592065,6.2994123,2.7349916,2.5
6.66725831,6.311392,2.7276704,2.5
6.687311783,6.323551,2.7201076,2.5
6.70673631,6.3352737,2.7126882,2.5
6.72643073,6.3471055,2.7050712,2.5
6.746027964,6.3588233,2.6973987,2.5
6.765915459,6.370658,2.6895168,2.5
6.786160268,6.382648,2.681395,2.5
6.805470501,6.394029,2.673556,2.5
6.828140509,6.407322,2.6642385,2.5
6.848231624,6.419041,2.655878,2.5
6.867803749,6.430401,2.6476412,2.5
6.887296773,6.44166,2.6393461,2.5
6.906897212,6.4529257,2.6309147,2.5
6.927014337,6.4644303,2.6221664,2.5
6.946467428,6.475499,2.6136162,2.5
6.966684952,6.486944,2.6046355,2.5
6.986880808,6.4983177,2.5955687,2.5
7.006827677,6.509493,2.5865202,2.5
7.027143815,6.520815,2.577209,2.5
7.047178549,6.53192,2.567933,2.5
7.079811839,6.5498834,2.5526254,2.5
7.099974776,6.560903,2.5430455,2.5
7.121096191,6.572383,2.5329099,2.5
7.140781351,6.583023,2.523372,2.5
7.159801102,6.5932484,2.5140731,2.5
7.178842053,6.603431,2.5046816,2.5
7.198830179,6.6140633,2.4947352,2.5
7.225242998,6.6280212,2.4814541,2.5
7.247550675,6.6397285,2.4701161,2.5
7.268098759,6.650447,2.459574,2.5
7.289561095,6.6615744,2.4484632,2.5
7.308858447,6.671521,2.4383864,2.5
7.33409022,6.6844416,2.425088,2.5
7.355531917,6.695346,2.4136782,2.5
7.374234708,6.704801,2.4036436,2.5
7.393583094,6.714527,2.3931832,2.5
7.412659764,6.724061,2.3827908,2.5
7.431685423,6.733515,2.3723483,2.5
7.452621828,6.7438545,2.3607683,2.5
7.471631195,6.753185,2.3501732,2.5
7.490897381,6.762585,2.3393574,2.5
7.511843059,6.7727413,2.327509,2.5
7.539616954,6.7861047,2.3116574,2.5
7.559014344,6.795368,2.3004909,2.5
7.577967206,6.8043633,2.2895055,2.5
7.599713773,6.814617,2.27681,2.5
7.626120851,6.82697,2.2612627,2.5
7.645800458,6.8361073,2.249584,2.5
7.665763664,6.845315,2.2376566,2.5
7.68663573,6.8548756,2.2251012,2.5
7.705819408,6.863604,2.2134838,2.5
7.725133251,6.8723345,2.2017136,2.5
7.744476975,6.88102,2.1898518,2.5
7.763548819,6.8895273,2.1780834,2.5
7.78574653,6.899358,2.164297,2.5
7.805457319,6.9080224,2.1519752,2.5
7.828356019,6.9180136,2.1375651,2.5
7.854161854,6.929174,2.1212056,2.5
7.873315964,6.937391,2.1089807,2.5
7.892714393,6.945655,2.0965278,2.5
7.913393995,6.954399,2.0831757,2.5
7.933354378,6.9627757,2.0702112,2.5
7.953534516,6.971182,2.0570285,2.5
7.972644473,6.979083,2.0444753,2.5
7.996412415,6.98883,2.028769,2.5
8.016065571,6.996822,2.015704,2.5
8.04100957,7.0068784,1.9990206,2.5
8.06029535,7.014587,1.9860446,2.5
8.08390235,7.023942,1.9700708,2.5
8.103150352,7.031504,1.956974,2.5
8.126818256,7.040724,1.9407794,2.5
8.146549415,7.048341,1.9272044,2.5
8.165732367,7.0556874,1.9139411,2.5
8.184725784,7.062904,1.9007471,2.5
8.204391112,7.070316,1.8870208,2.5
8.224284928,7.077751,1.8730685,2.5
8.243950192,7.0850387,1.8592111,2.5
8.266452675,7.093302,1.8432745,2.5
8.286147628,7.1004686,1.8292569,2.5
8.306248995,7.107718,1.8148856,2.5
8.32569019,7.114669,1.8009224,2.5
8.345094185,7.121546,1.7869258,2.5
8.364428673,7.128338,1.772918,2.5
8.384372859,7.1352816,1.7584062,2.5
8.403681721,7.1419435,1.744297,2.5
8.424111606,7.1489267,1.7293048,2.5
8.445775929,7.1562586,1.7133358,2.5
8.465369136,7.162824,1.6988311,2.5
8.484849641,7.1692905,1.6843517,2.5
8.504000586,7.175588,1.6700609,2.5
8.523995013,7.1821003,1.655082,2.5
8.543275989,7.188318,1.6405818,2.5
8.562230973,7.1943727,1.6262727,2.5
8.582261684,7.2007074,1.611094,2.5
8.601553451,7.2067475,1.5964205,2.5
8.623993612,7.213697,1.5792856,2.5
8.644158125,7.219872,1.5638268,2.5
8.663581629,7.2257576,1.5488824,2.5
8.682886786,7.2315464,1.5339763,2.5
8.702229642,7.2372856,1.5189904,2.5
8.722627898,7.2432723,1.5031309,2.5
8.741788089,7.248834,1.4881828,2.5
8.760617907,7.2542415,1.4734439,2.5
8.782423824,7.260431,1.4563174,2.5
8.801795342,7.2658644,1.4410506,2.5
8.825590614,7.2724547,1.4222305,2.5
8.844511707,7.277629,1.4072139,2.5
8.864096739,7.282923,1.3916233,2.5
8.883865957,7.288203,1.3758363,2.5
8.903529111,7.293391,1.3600863,2.5
8.925589865,7.2991366,1.3423603,2.5
8.946806419,7.3045864,1.3252561,2.5
8.966303476,7.30953,1.3094906,2.5
8.987257618,7.3147726,1.2924978,2.5
9.006368683,7.319491,1.276955,2.5
9.026094557,7.3242984,1.260868,2.5
9.045136036,7.3288784,1.245297,2.5
9.064825099,7.333551,1.2291543,2.5
9.091762217,7.33984,1.2069992,2.5
9.118638411,7.345995,1.1848164,2.5
9.140976814,7.351021,1.1663193,2.5
9.159792994,7.35519,1.1506985,2.5
9.180607361,7.359733,1.1333758,2.5
9.207171763,7.3654275,1.1112044,2.5
9.22770046,7.3697476,1.0940218,2.5
9.247316218,7.373811,1.077564,2.5
9.277462708,7.3799305,1.0521991,2.5
9.299973523,7.384402,1.0332026,2.5
9.323151988,7.3889174,1.0135937,2.5
9.342607826,7.392639,0.99709594,2.5
9.362265508,7.3963356,0.9803919,2.5
9.381625463,7.399913,0.9639085,2.5
9.405595581,7.4042563,0.94345415,2.5
9.429659066,7.4085197,0.92287207,2.5
9.451798095,7.412357,0.90389246,2.5
9.476117538,7.4164777,0.8829988,2.5
9.496204012,7.4198074,0.86570495,2.5
9.520818764,7.423795,0.844471,2.5
9.540010934,7.4268346,0.8278822,2.5
9.56048975,7.43001,0.8101523,2.5
9.579309256,7.432866,0.79383075,2.5
9.599137197,7.435811,0.77660805,2.5
9.624351186,7.439461,0.7546667,2.5
9.643493346,7.4421606,0.73797995,2.5
9.662318383,7.4447565,0.7215473,2.5
9.682973149,7.4475355,0.7034898,2.5
9.702658884,7.450118,0.68625474,2.5
9.722813852,7.452695,0.66858363,2.5
9.741789376,7.4550586,0.65192354,2.5
9.76061569,7.457344,0.63537514,2.5
9.779997003,7.459635,0.61831725,2.5
9.799322615,7.461856,0.6012868,2.5
9.819823739,7.4641438,0.58319926,2.5
9.842501046,7.4665923,0.56316614,2.5
9.861677867,7.4685955,0.5462039,2.5
9.891088261,7.4715476,0.5201559,2.5
9.910505692,7.473417,0.5029368,2.5
9.938878801,7.476034,0.47774422,2.5
9.958036367,7.4777246,0.46071446,2.5
9.97731972,7.4793644,0.44355774,2.5
9.99675845,7.4809537,0.42624745,2.5
10.01674708,7.4825215,0.4084323,2.5
10.035952927,7.483965,0.39130238,2.5
10.055658604,7.485381,0.3737117,2.5
10.074966759,7.4867053,0.35646373,2.5
10.095841771,7.4880657,0.33780235,2.5
10.120258291,7.489565,0.3159577,2.5
10.142061559,7.4908185,0.2964379,2.5
10.162225535,7.491906,0.2783732,2.5
10.181964321,7.4929047,0.26068097,2.5
10.202068719,7.493854,0.24265096,2.5
10.223396443,7.494787,0.22351371,2.5
10.242837865,7.49557,0.20606133,2.5
10.262621858,7.496302,0.18829426,2.5
10.282633125,7.4969754,0.17031637,2.5
10.302030718,7.4975634,0.15288377,2.5
10.324828783,7.4981728,0.13238847,2.5
10.344988865,7.4986396,0.11425994,2.5
10.364352347,7.499023,0.096843556,2.5
10.384504627,7.4993544,0.07871461,2.5
10.403923295,7.4996095,0.061242834,2.5
10.428527862,7.4998407,0.03910166,2.5
10.45054187,7.499961,0.019290052,2.5
10.477474889,7.499997,-0.00494983,2.5
10.497290038,7.499946,-0.022783084,2.5
10.520589673,7.4998007,-0.04375162,2.5
10.540123983,7.499608,-0.061329883,2.5
10.559539864,7.499353,-0.07879951,2.5
10.578699062,7.4990387,-0.09603554,2.5
10.598520381,7.498649,-0.11386308,2.5
10.628039088,7.497945,-0.14040658,2.5
10.650782621,7.4973025,-0.16084991,2.5
10.67024408,7.4966836,-0.17833707,2.5
10.689745759,7.495999,-0.19585451,2.5
10.70887023,7.4952655,-0.21302569,2.5
10.729129757,7.494421,-0.23120964,2.5
10.751307377,7.4934173,-0.25110492,2.5
10.77106401,7.4924536,-0.26881856,2.5
10.791541178,7.491385,-0.28716922,2.5
10.816035969,7.490014,-0.30910566,2.5
10.840401393,7.48855,-0.33090952,2.5
10.861973538,7.48717,-0.3501989,2.5
10.881953693,7.485822,-0.36805108,2.5
10.901621914,7.4844303,-0.385612,2.5
10.922985803,7.482844,-0.40467265,2.5
10.94214976,7.4813557,-0.42175597,2.5
10.961713185,7.479772,-0.43917972,2.5
10.980967947,7.4781513,-0.45631483,2.5
11.001488986,7.476355,-0.4745605,2.5
11.025353186,7.474177,-0.49575615,2.5
11.044733109,7.4723377,-0.51294935,2.5
11.067935576,7.4700527,-0.5335119,2.5
11.087435389,7.468062,-0.5507724,2.5
11.107316584,7.4659667,-0.568352,2.5
11.127742017,7.4637456,-0.5863904,2.5
11.147318143,7.4615507,-0.60365915,2.5
11.167137266,7.459263,-0.62112063,2.5
11.188044638,7.4567776,-0.6395175,2.5
11.207451846,7.454406,-0.6565716,2.5
11.227222963,7.4519243,-0.6739227,2.5
11.247531831,7.4493065,-0.6917206,2.5
11.266950994,7.446739,-0.7087144,2.5
11.28661008,7.444076,-0.72589445,2.5
11.306261331,7.441349,-0.74304235,2.5
11.327305073,7.4383564,-0.7613772,2.5
11.346095508,7.4356227,-0.7777221,2.5
11.370157365,7.432035,-0.7986172,2.5
11.394315896,7.428335,-0.8195545,2.5
11.422087644,7.4239626,-0.84356964,2.5
11.457905589,7.418132,-0.8744563,2.5
11.483534222,7.413829,-0.89649343,2.5
11.505430332,7.4100657,-0.9152802,2.5
11.530395635,7.405677,-0.9366522,2.5
11.550219563,7.402118,-0.9535849,2.5
11.5713288,7.3982573,-0.97157896,2.5
11.591357742,7.3945246,-0.98861635,2.5
11.61420091,7.390187,-1.0080025,2.5
11.636659477,7.385837,-1.0270176,2.5
11.657055469,7.3818145,-1.0442454,2.5
11.677689836,7.3776736,-1.0616348,2.5
11.698471207,7.3734326,-1.079107,2.5
11.71946708,7.3690753,-1.0967171,2.5
11.740133592,7.3647146,-1.114008,2.5
11.761247988,7.360186,-1.1316297,2.5
11.780570589,7.355978,-1.1477166,2.5
11.802770087,7.351066,-1.1661503,2.5
11.825303943,7.345997,-1.1848097,2.5
11.849766223,7.3403997,-1.2050035,2.5
11.869659898,7.3357744,-1.2213783,2.5
11.889674311,7.331055,-1.237809,2.5
11.908846077,7.3264728,-1.253506,2.5
11.928609583,7.3216853,-1.2696437,2.5
11.948101598,7.3169007,-1.2855165,2.5
11.967800789,7.312002,-1.3015127,2.5
11.990734874,7.3062186,-1.3200791,2.5
12.01012056,7.3012624,-1.3357234,2.5
12.031201481,7.295802,-1.352685,2.5
12.050956587,7.2906194,-1.368531,2.5
12.073075867,7.2847404,-1.3862164,2.5
12.092978949,7.279382,-1.4020768,2.5
12.120088354,7.2719793,-1.4236004,2.5
12.139536124,7.266594,-1.438983,2.5
12.160483105,7.260725,-1.4554968,2.5
12.180051999,7.2551775,-1.4708717,2.5
12.200374979,7.2493496,-1.4867855,2.5
12.220878805,7.243402,-1.5027852,2.5
12.24130987,7.237407,-1.5186714,2.5
12.261431847,7.2314367,-1.5342612,2.5
12.28363629,7.2247715,-1.5514002,2.5
12.303631082,7.218701,-1.5667744,2.5
12.325420992,7.212012,-1.5834653,2.5
12.345119686,7.2058983,-1.5984952,2.5
12.364963021,7.1996765,-1.613579,2.5
12.384561379,7.1934686,-1.6284213,2.5
12.40410621,7.187216,-1.6431665,2.5
12.426132243,7.180095,-1.6597159,2.5
12.445641314,7.1737227,-1.6743143,2.5
12.465040088,7.167325,-1.6887727,2.5
12.484657103,7.1607943,-1.7033355,2.5
12.505571414,7.1537633,-1.7187964,2.5
12.52913376,7.1457577,-1.7361336,2.5
12.555730809,7.1366134,-1.7556,2.5
12.5744832,7.1300983,-1.7692577,2.5
12.594124214,7.123214,-1.7835023,2.5
